,A3A,A3C,A3G,A3T,C3A,C3C,C3G,G3A,G3C,T3A,A4A,A4C,A4G,A4T,C4A,C4C,C4G,G4A,G4C,T4A,A5A,A5C,A5G,A5T,C5A,C5C,C5G,G5A,G5C,T5A,A6A,A6C,A6G,A6T,C6A,C6C,C6G,G6A,G6C,T6A,A7A,A7C,A7G,A7T,C7A,C7C,C7G,G7A,G7C,T7A,A8A,A8C,A8G,A8T,C8A,C8C,C8G,G8A,G8C,T8A,A0A,A0C,A0G,A0T,C0A,C0C,C0G,G0A,G0C,T0A,A1A,A1C,A1G,A1T,C1A,C1C,C1G,G1A,G1C,T1A,A2A,A2C,A2G,A2T,C2A,C2C,C2G,G2A,G2C,T2A,A3A,A3C,A3G,A3T,C3A,C3C,C3G,G3A,G3C,T3A,A4A,A4C,A4G,A4T,C4A,C4C,C4G,G4A,G4C,T4A
hsa:4986,0.10096576,0.13520633,0.10798947,0.05618964,0.14223002,0.13608429,0.07813872,0.1404741,0.06584723,0.03687445,0.09666081,0.13005273,0.13181019,0.04920914,0.13005273,0.13532513,0.07293497,0.10281195,0.08787346,0.06326889,0.14775726,0.09762533,0.109938435,0.051011432,0.109938435,0.18117854,0.071240105,0.10026385,0.081794195,0.049252417,0.09859155,0.115316905,0.12411972,0.058978874,0.12588029,0.13556337,0.079225354,0.1390845,0.07658451,0.04665493,0.11453745,0.12511013,0.13920705,0.03876652,0.13303965,0.13039647,0.07048458,0.09867842,0.09427313,0.05550661,0.12874779,0.1005291,0.10405644,0.061728396,0.11111111,0.17989418,0.074074075,0.1261023,0.06790123,0.04585538,0.4553415,0.5035026,0.70490366,0.31085816,0.7837128,0.73555166,0.24518389,0.73993,0.36777583,0.15323994,0.4995618,0.6792288,0.6836109,0.21034181,0.54776514,0.63540757,0.42506573,0.71428573,0.34180546,0.26292726,0.7149123,0.5263158,0.51754385,0.2631579,0.49122807,0.9342105,0.38596493,0.5350877,0.35964912,0.27192983,0.5048288,0.67603165,0.53994733,0.28094822,0.7111501,0.6804215,0.39069358,0.70237046,0.32923615,0.18437225,0.48330402,0.65026367,0.65905094,0.24604571,0.65026367,0.67662567,0.36467487,0.5140597,0.4393673,0.31634447
hsa:1128,0.07831762,0.11675127,0.12110225,0.036258157,0.11965192,0.17041335,0.10007252,0.12617838,0.09934735,0.03190718,0.06748912,0.12917271,0.13134979,0.030478954,0.12481858,0.17561683,0.08998549,0.115384616,0.095791005,0.039912917,0.0929557,0.10820624,0.10094408,0.043572985,0.10820624,0.21423385,0.09440813,0.11619463,0.086419754,0.034858387,0.07776163,0.11627907,0.113372095,0.040697675,0.12209302,0.20421511,0.086482555,0.13299419,0.07921512,0.026889535,0.075636365,0.12436364,0.12581818,0.031272728,0.128,0.20072727,0.079272725,0.10763636,0.08945455,0.037818182,0.08442504,0.101892285,0.112809315,0.044395924,0.098981075,0.20887919,0.09606987,0.123726346,0.08879185,0.040029112,0.30028942,0.47756875,0.8755427,0.1447178,0.8429812,0.9623734,0.18813314,0.6186686,0.4992764,0.090448625,0.36567703,0.6517017,0.6770456,0.1230992,0.54670525,0.807386,0.5141202,0.64808106,0.47429398,0.19188993,0.5036232,0.45289856,0.6231884,0.1811594,0.47826084,0.98550725,0.48550725,0.6413043,0.48913044,0.1594203,0.3915881,0.5837563,0.60551125,0.18129079,0.5982596,0.85206676,0.5003626,0.6308919,0.49673676,0.15953588,0.3374456,0.64586353,0.65674895,0.15239477,0.6240929,0.8780842,0.44992745,0.5769231,0.47895503,0.19956458
hsa:1129,0.13457409,0.12884752,0.12097351,0.07372942,0.13099499,0.098783106,0.05869721,0.13314244,0.05368647,0.06657122,0.14469914,0.12965617,0.13323782,0.062320918,0.1282235,0.11103152,0.04799427,0.10959885,0.058739256,0.074498564,0.15053764,0.12759857,0.13118279,0.0609319,0.12473118,0.12258065,0.045161292,0.12759857,0.045161292,0.06451613,0.15423243,0.13055953,0.11262554,0.06671449,0.12840746,0.113342896,0.05738881,0.13271162,0.045911048,0.05810617,0.1356784,0.12706389,0.13208902,0.06819814,0.12993538,0.10624551,0.050251257,0.12921752,0.053122755,0.06819814,0.16020115,0.10560345,0.121408045,0.07183908,0.104166664,0.12715517,0.058189657,0.14655173,0.04454023,0.060344826,0.7392857,0.57857144,0.7071429,0.31785715,0.90000004,0.6464285,0.04285714,0.59999996,0.25714284,0.21071428,0.74696213,0.6290207,0.66476053,0.3073624,0.6111508,0.50750536,0.27877057,0.6111508,0.29664046,0.34667617,0.8941345,0.55793995,0.6473534,0.27896997,0.52932763,0.6044349,0.27896997,0.65092987,0.26466382,0.2932761,0.6728704,0.64423764,0.6048676,0.3686471,0.65497494,0.49391553,0.29348606,0.66571224,0.26843235,0.33285612,0.7234957,0.64828086,0.66618913,0.3116046,0.64111745,0.5551576,0.23997135,0.54799426,0.29369628,0.37249282
hsa:1131,0.115319386,0.12153759,0.12323347,0.05992086,0.12832108,0.12436405,0.07235727,0.13171284,0.07122668,0.052006785,0.10576923,0.13574661,0.13235295,0.05316742,0.12782806,0.12047511,0.07013575,0.12443439,0.06957014,0.060520362,0.13016412,0.1114884,0.11431805,0.062252406,0.10696095,0.15846066,0.07074137,0.11375212,0.067911714,0.063950196,0.112684034,0.13137034,0.11381654,0.06115515,0.12797283,0.13080408,0.074178934,0.13193658,0.06285391,0.053227633,0.10991501,0.13541077,0.12691218,0.05382436,0.13031161,0.14107649,0.0611898,0.12011331,0.061756372,0.059490085,0.12641723,0.1122449,0.12811792,0.05668934,0.11451247,0.15306123,0.062358275,0.1207483,0.06689342,0.058956917,0.62076753,0.55022573,0.7844244,0.22291197,0.8295711,0.6602709,0.16365689,0.6828442,0.35270882,0.13261852,0.6182947,0.70863914,0.663467,0.203275,0.5985319,0.5448899,0.39808017,0.6578204,0.3444382,0.26256353,0.7344633,0.5056497,0.62711865,0.26553673,0.5367232,0.7881356,0.32485875,0.6242938,0.3418079,0.25141242,0.5765969,0.60768795,0.6161673,0.2996043,0.6416054,0.6218202,0.36178634,0.6585642,0.3561334,0.26003394,0.52884614,0.67873305,0.66176474,0.2658371,0.6391403,0.60237557,0.35067874,0.62217194,0.34785068,0.3026018
hsa:1132,0.07799443,0.11768802,0.10654596,0.045961004,0.12186629,0.18662953,0.0954039,0.12325905,0.08913649,0.03551532,0.06271777,0.1358885,0.13449477,0.03066202,0.1261324,0.17700349,0.08432056,0.10522648,0.09337979,0.050174218,0.09972106,0.11227336,0.09553696,0.043235704,0.10320781,0.21548118,0.09623431,0.10251046,0.08716876,0.044630405,0.078855544,0.13258897,0.11444522,0.034194,0.1256106,0.18492673,0.09071877,0.136776,0.07536636,0.026517795,0.08100559,0.12360335,0.11592179,0.037011173,0.11662011,0.18784916,0.0928771,0.106843576,0.09357542,0.044692736,0.09503844,0.088749126,0.1104123,0.050314464,0.10412299,0.2089448,0.091544375,0.118099235,0.094339624,0.038434662,0.3370396,0.5559416,0.6984017,0.19110493,0.9277276,0.88255733,0.26059765,0.54551774,0.5211953,0.07991661,0.3581363,0.6293463,0.6815021,0.14951321,0.5945758,0.7614743,0.49721837,0.5876217,0.5250348,0.21557719,0.5219207,0.45581073,0.60890746,0.19137092,0.4453723,1.0508003,0.46276963,0.6332637,0.4453723,0.18441197,0.38997215,0.5884401,0.5327298,0.22980502,0.6093315,0.93314767,0.47701952,0.6162953,0.44568244,0.1775766,0.31358886,0.6794425,0.67247385,0.1533101,0.63066196,0.88501745,0.4216028,0.5261324,0.46689895,0.2508711
hsa:1133,0.102194354,0.12351097,0.13040753,0.060815047,0.1184953,0.12351097,0.07460815,0.1429467,0.06645768,0.05705329,0.12358846,0.13299875,0.11731493,0.052070264,0.11731493,0.13864492,0.074027605,0.12233375,0.06461731,0.057089083,0.13747646,0.11048336,0.11487759,0.05775267,0.11989956,0.16321406,0.061519146,0.118016325,0.06591337,0.050847456,0.113065325,0.12625629,0.12688442,0.055904523,0.12374372,0.14321607,0.06344221,0.1388191,0.057788946,0.050879396,0.115650535,0.13702074,0.1238215,0.050911378,0.13387807,0.13073538,0.06599623,0.116907604,0.069767445,0.055311125,0.13018867,0.11446541,0.12578617,0.05408805,0.11006289,0.15157233,0.06603774,0.13018867,0.064150944,0.05345912,0.59762204,0.54443055,0.80100125,0.2221527,0.8729662,0.77597,0.08135169,0.6727159,0.3097622,0.12202754,0.5635567,0.6856606,0.66687536,0.23481527,0.6324358,0.57608014,0.3694427,0.62304324,0.36318097,0.2849092,0.6641604,0.53258145,0.70802003,0.24122806,0.56390977,0.68922305,0.32581452,0.726817,0.3320802,0.21616541,0.5109718,0.61755484,0.6520376,0.30407524,0.5924765,0.61755484,0.37304074,0.71473354,0.3322884,0.28526646,0.6179423,0.66499376,0.5865746,0.26035133,0.5865746,0.6932246,0.37013802,0.61166877,0.32308656,0.28544542
hsa:150,0.043758966,0.10473458,0.1097561,0.025824964,0.106886655,0.22381635,0.12482066,0.12984218,0.11549498,0.015064563,0.045944005,0.101220384,0.124910265,0.018664753,0.10552764,0.23761666,0.11127064,0.11127064,0.11988514,0.023689877,0.08117816,0.068247125,0.08405172,0.038074713,0.07902299,0.26795977,0.13002874,0.08836207,0.13218391,0.030890804,0.043134436,0.10783609,0.0984903,0.030194106,0.110711716,0.26024443,0.110711716,0.12508987,0.097771384,0.01581596,0.039568346,0.11294964,0.11582734,0.02086331,0.116546765,0.24532375,0.10647482,0.10647482,0.11223022,0.023741007,0.08135349,0.08351332,0.08279338,0.030957524,0.07487401,0.28581715,0.123830095,0.092152625,0.1137509,0.030957524,0.24695776,0.47602004,0.5654975,0.13242663,0.59770936,1.0379385,0.6227631,0.6227631,0.65497494,0.042949174,0.2363897,0.6124642,0.6232092,0.03939828,0.5265043,1.1174785,0.5909742,0.519341,0.5981375,0.13610315,0.41935486,0.39784944,0.45519713,0.13978495,0.37992832,1.2939069,0.6594982,0.45161292,0.6523298,0.15053762,0.21879482,0.5236729,0.5487805,0.12912482,0.53443325,1.1190817,0.6241033,0.6492109,0.5774749,0.075322814,0.22972003,0.5061019,0.6245513,0.09332377,0.5276382,1.1880833,0.5563532,0.5563532,0.5994257,0.11844939
hsa:151,0.063009635,0.10600445,0.12601927,0.03335804,0.114899926,0.18087472,0.10822832,0.14232765,0.10452187,0.020756116,0.0615727,0.12537092,0.13501483,0.020029673,0.1120178,0.18694362,0.10237389,0.1268546,0.099406525,0.03041543,0.101707496,0.093541205,0.101707496,0.032665182,0.09057164,0.24053451,0.10319228,0.100222714,0.101707496,0.034149963,0.07355126,0.11218425,0.11738484,0.029717682,0.11961367,0.22362556,0.089153044,0.12630014,0.08766716,0.020802377,0.060966544,0.1197026,0.12862453,0.0267658,0.116728626,0.20297398,0.09516729,0.11895911,0.09814126,0.03197026,0.100446425,0.09375,0.109375,0.029761905,0.08779762,0.25892857,0.09151786,0.10565476,0.08928572,0.03348214,0.28846154,0.477071,0.7692308,0.13683432,0.7840237,1.068787,0.2847633,0.58801776,0.52884614,0.0739645,0.3145818,0.63286453,0.6513694,0.10362694,0.5699482,0.9511473,0.51073277,0.63656557,0.48482603,0.14433753,0.4962963,0.44444445,0.53333336,0.16666667,0.44814813,1.1962963,0.5074074,0.5,0.52592593,0.18148148,0.31504816,0.53002226,0.6300963,0.1667902,0.5744996,0.9043736,0.54114157,0.7116383,0.52260935,0.10378058,0.3078635,0.6268546,0.67507416,0.100148365,0.560089,0.93471813,0.51186943,0.634273,0.49703264,0.15207715
hsa:3577,0.10867493,0.117254525,0.109628215,0.06768351,0.12583412,0.13441373,0.079122975,0.14204004,0.06768351,0.04766444,0.10209924,0.13454199,0.13931298,0.047709923,0.13263358,0.13454199,0.061068702,0.13167939,0.0639313,0.052480917,0.12989494,0.11270296,0.12225406,0.05348615,0.11747851,0.15663801,0.065902576,0.10506208,0.07736389,0.05921681,0.11567878,0.13671128,0.1166348,0.05162524,0.14340344,0.124282986,0.07170172,0.14053537,0.064053535,0.03537285,0.12440191,0.12440191,0.14258373,0.040191386,0.111004785,0.13301435,0.070813395,0.1215311,0.07559808,0.05645933,0.1283525,0.10344828,0.12739463,0.055555556,0.10057471,0.16475096,0.06800766,0.12068965,0.070881225,0.060344826,0.51806086,0.5323194,0.6986692,0.3041825,0.94106466,0.7461977,0.128327,0.641635,0.36121672,0.128327,0.585157,0.623216,0.71836346,0.21408184,0.5899144,0.51855373,0.40913415,0.6517602,0.4234063,0.26641294,0.6238095,0.5714286,0.5523809,0.3047619,0.5714286,0.77619046,0.37142858,0.6571429,0.3190476,0.25238094,0.54337466,0.5862726,0.54814106,0.33841756,0.6291706,0.67206866,0.39561486,0.7102002,0.33841756,0.2383222,0.5104962,0.67270994,0.6965649,0.23854962,0.6631679,0.67270994,0.3053435,0.65839696,0.3196565,0.2624046
hsa:5731,0.033195022,0.09792531,0.092116185,0.017427387,0.09875519,0.25311205,0.14854772,0.101244815,0.14522822,0.012448133,0.025747508,0.1038206,0.10880399,0.009966778,0.094684385,0.2599668,0.13870431,0.10714286,0.13621262,0.014950166,0.054862842,0.0798005,0.075644225,0.0241064,0.08146301,0.30673316,0.13881962,0.08395678,0.13632585,0.018287614,0.029950082,0.09068219,0.098169714,0.019966722,0.09484193,0.29201332,0.1281198,0.1139767,0.123128116,0.009151414,0.03080766,0.10074937,0.11490425,0.005828476,0.089092426,0.25645295,0.14071608,0.10074937,0.14238136,0.018318068,0.053333335,0.079166666,0.09166667,0.016666668,0.060833335,0.30416667,0.1425,0.096666664,0.13166666,0.023333333,0.14072847,0.38907287,0.625,0.07036424,0.67052984,1.1754967,0.61672187,0.40149006,0.8692053,0.04139073,0.15741509,0.5302403,0.5260978,0.03728252,0.56338024,1.2178956,0.70008284,0.4598177,0.74979293,0.05799503,0.2819237,0.39386404,0.40630186,0.103648424,0.39800996,1.5174129,0.6923715,0.4145937,0.6923715,0.09950249,0.16597511,0.48962656,0.46058092,0.08713693,0.49377593,1.2655603,0.7427386,0.5062241,0.7261411,0.062240664,0.12873754,0.519103,0.54401994,0.049833886,0.47342193,1.299834,0.69352156,0.53571427,0.68106306,0.07475083
hsa:5732,0.084808946,0.11556384,0.12301957,0.03727866,0.113699906,0.16961789,0.09785648,0.12581547,0.09599254,0.036346693,0.08675373,0.13059701,0.11380597,0.03358209,0.104477614,0.17817163,0.10261194,0.12313433,0.0858209,0.041044775,0.11671335,0.09056956,0.10364146,0.04388422,0.09337068,0.22502334,0.08963586,0.10084034,0.09337068,0.042950515,0.09158879,0.10186916,0.11775701,0.043925233,0.10093458,0.19906542,0.09158879,0.12523365,0.088785045,0.039252337,0.08419083,0.12067353,0.1393826,0.027128156,0.107577175,0.18428437,0.08512629,0.11973807,0.089803554,0.042095415,0.1170412,0.0917603,0.10861423,0.040262174,0.09644195,0.21722846,0.08988764,0.09644195,0.099250935,0.043071162,0.40892196,0.46933085,0.7202602,0.19516729,0.7202602,0.901487,0.3345725,0.6273234,0.5065056,0.11617101,0.3860465,0.5627907,0.65581393,0.19069767,0.47906977,0.8372093,0.52093023,0.69767445,0.45581397,0.21395348,0.5540037,0.46554935,0.5772812,0.19553073,0.47020483,0.9962756,0.48417133,0.5819367,0.48417133,0.19087523,0.42404473,0.5778192,0.6150978,0.18639329,0.5684995,0.84808946,0.48928237,0.6290773,0.4799627,0.18173346,0.43376866,0.65298504,0.56902987,0.16791046,0.5223881,0.8908582,0.5130597,0.61567163,0.4291045,0.20522387
hsa:134,0.075742066,0.11668373,0.12487206,0.04298874,0.12998976,0.1801433,0.08085977,0.14841351,0.075742066,0.024564994,0.06762295,0.12704918,0.1567623,0.025614753,0.12295082,0.1659836,0.07581967,0.114754096,0.094262294,0.04918033,0.12820514,0.092307694,0.10051282,0.041025642,0.09025641,0.22974358,0.08820513,0.09538461,0.08923077,0.045128204,0.070841886,0.11806981,0.11806981,0.04825462,0.1365503,0.18685831,0.078028746,0.15092403,0.069815196,0.02258727,0.07194245,0.11510792,0.15621789,0.029804727,0.124357656,0.16957863,0.073997945,0.11716341,0.09660843,0.045220967,0.1090535,0.07716049,0.10390946,0.056584362,0.100823045,0.20473251,0.09465021,0.108024694,0.10185185,0.043209877,0.34183675,0.45408162,0.72448975,0.25,0.79591835,0.9846939,0.23979591,0.6938776,0.4234694,0.091836736,0.33707863,0.65883553,0.7507661,0.13278855,0.57201225,0.7865169,0.43922368,0.68947905,0.42390195,0.20939735,0.53169733,0.42944786,0.5214724,0.26584867,0.50102246,1.1656442,0.39877298,0.5828221,0.40388548,0.19938649,0.37871033,0.58341867,0.6243603,0.2149437,0.6499488,0.9007165,0.40429887,0.7420676,0.37871033,0.122824974,0.33811477,0.6352459,0.7838115,0.12807377,0.6147541,0.829918,0.37909836,0.57377046,0.47131148,0.24590164
hsa:135,0.07692308,0.1271255,0.11417004,0.034008097,0.12469636,0.17408907,0.10040486,0.14089069,0.08582996,0.021862349,0.075364664,0.13614263,0.124797404,0.025121557,0.115883306,0.17828201,0.09724473,0.11102107,0.09400324,0.042139385,0.10381184,0.09813463,0.09894566,0.04298459,0.10867802,0.22303325,0.09164639,0.10381184,0.09407948,0.03487429,0.06818182,0.10633117,0.11850649,0.04707792,0.121753246,0.19724026,0.08847403,0.1387987,0.08522727,0.028409092,0.06580016,0.12916328,0.13972381,0.025995126,0.12753859,0.18196589,0.082859464,0.112103984,0.09504468,0.039805036,0.09593496,0.096747965,0.11138211,0.041463416,0.096747965,0.20731707,0.1,0.10813008,0.1,0.042276423,0.3029079,0.50080776,0.7229402,0.20193861,0.92084,0.98949915,0.2180937,0.5694669,0.5048465,0.06865913,0.33144706,0.5941795,0.6628941,0.16976556,0.61438966,0.8407437,0.4769604,0.63864183,0.49717057,0.17380759,0.45307443,0.45307443,0.6512945,0.18608414,0.513754,1.0477346,0.4288026,0.63915855,0.46521035,0.1618123,0.3846154,0.6356275,0.5708502,0.17004049,0.6234818,0.8704454,0.5020243,0.70445347,0.4291498,0.109311745,0.3768233,0.6807131,0.623987,0.12560779,0.5794165,0.89141005,0.48622367,0.5551053,0.47001618,0.21069692
hsa:140,0.14690451,0.12906611,0.1112277,0.06820567,0.12591815,0.11857293,0.06086044,0.13746065,0.04512067,0.05666317,0.15966387,0.12079832,0.12920168,0.05672269,0.11764706,0.11344538,0.05882353,0.12079832,0.05987395,0.063025214,0.17770767,0.115667716,0.1314406,0.04942166,0.115667716,0.12828602,0.05152471,0.10935857,0.059936907,0.060988434,0.13789473,0.11368421,0.12736842,0.07263158,0.13263159,0.101052634,0.05894737,0.15789473,0.050526317,0.047368422,0.12328767,0.13593256,0.16227607,0.0516333,0.12750264,0.08956797,0.049525816,0.11801897,0.06533193,0.07692308,0.15084389,0.09704641,0.121308014,0.07805907,0.10864979,0.14135021,0.05379747,0.1107595,0.062236287,0.07594936,0.6746862,0.5596234,0.6746862,0.35564855,0.9361925,0.6276151,0.07322176,0.6171548,0.2876569,0.19351465,0.72251314,0.6387435,0.7382199,0.2565445,0.62827224,0.43455496,0.29319373,0.60732985,0.35078532,0.32984293,0.7651991,0.5398323,0.62893087,0.34067088,0.5293501,0.62893087,0.29874212,0.6708595,0.2725367,0.32494757,0.7345226,0.64533055,0.5561385,0.34102833,0.62959075,0.59286463,0.30430222,0.68730325,0.22560336,0.28331584,0.79831934,0.6039916,0.6460084,0.28361344,0.5882353,0.5672269,0.29411766,0.6039916,0.29936975,0.31512606
hsa:11255,0.04872564,0.1101949,0.109445274,0.031484257,0.12293853,0.21889055,0.10869565,0.11769115,0.110944524,0.020989506,0.03975994,0.12528132,0.12078019,0.022505626,0.11627907,0.22205551,0.10502626,0.10127532,0.11027757,0.03675919,0.075825825,0.0945946,0.08783784,0.036036037,0.08858859,0.25675675,0.117867865,0.0990991,0.10960961,0.033783782,0.048835464,0.104432754,0.11269722,0.032306537,0.106686704,0.22764838,0.11119459,0.13072878,0.10293013,0.022539444,0.040601503,0.11578947,0.12481203,0.02481203,0.12857144,0.22030075,0.09774436,0.11578947,0.108270675,0.023308272,0.08051166,0.08352145,0.094808124,0.036117382,0.08051166,0.27614748,0.10910459,0.097817905,0.105342366,0.036117382,0.22438295,0.4487659,0.7591623,0.112191476,0.6955871,1.1032162,0.39267015,0.57965595,0.60583395,0.07853403,0.254491,0.625,0.5950599,0.08982036,0.50149703,1.0516467,0.5988024,0.5950599,0.5351796,0.15344311,0.37827715,0.46441945,0.4906367,0.1610487,0.48314604,1.3745319,0.49812734,0.45692885,0.52434456,0.16853932,0.24362819,0.5509745,0.54722637,0.15742129,0.6146926,1.0944527,0.54347825,0.58845574,0.5547226,0.10494753,0.1987997,0.6264066,0.60390097,0.11252813,0.5813954,1.1102775,0.5251313,0.50637656,0.55138785,0.18379596
hsa:3269,0.11643836,0.12739725,0.124657534,0.05410959,0.12739725,0.13219178,0.06917808,0.13835616,0.063013695,0.047260273,0.12542838,0.12816998,0.1398218,0.04180946,0.12063057,0.12542838,0.067854695,0.11720356,0.076764904,0.05688828,0.13237311,0.11248285,0.11179698,0.060356654,0.10836763,0.15500686,0.073388204,0.1303155,0.06310014,0.05281207,0.11942347,0.13040493,0.12903225,0.04941661,0.12697323,0.13520934,0.06520247,0.13177763,0.06314345,0.04941661,0.12225275,0.13255495,0.12912089,0.046703298,0.1304945,0.13186814,0.06524725,0.11195055,0.07348901,0.05631868,0.12989691,0.10309278,0.12371134,0.0604811,0.106529206,0.14020619,0.07560138,0.13402061,0.07285223,0.053608246,0.50922763,0.5194805,0.78263843,0.28708133,0.8509911,0.7484621,0.11619959,0.7108681,0.31784004,0.15721121,0.6121751,0.62927496,0.7079344,0.21545827,0.5848153,0.63269496,0.34541723,0.66347474,0.34541723,0.26333788,0.6570842,0.5509925,0.5920602,0.29089665,0.56125945,0.7837098,0.33880904,0.5920602,0.34565365,0.28747433,0.5821918,0.63698626,0.6232877,0.27054793,0.63698626,0.6609589,0.3458904,0.6917808,0.31506848,0.23630136,0.6271419,0.64084995,0.69910896,0.20904729,0.6031529,0.6271419,0.33927348,0.58601785,0.38382453,0.28444138
hsa:59340,0.19076133,0.12232678,0.11633875,0.08212147,0.120615914,0.08212147,0.04362703,0.11291702,0.044482462,0.08468777,0.1729452,0.13613014,0.1275685,0.07876712,0.12071918,0.07020548,0.043664385,0.11044521,0.04452055,0.09503425,0.1773779,0.10454156,0.11396744,0.09940017,0.11225364,0.10111397,0.039417308,0.119965725,0.040274207,0.09168809,0.17152658,0.120926246,0.10720412,0.097770154,0.11234991,0.08833619,0.048885077,0.1303602,0.033447683,0.08919383,0.17854077,0.13047211,0.12017167,0.0832618,0.12961373,0.07811159,0.03862661,0.12274678,0.03776824,0.080686696,0.17783505,0.10824742,0.12886597,0.09020618,0.1323024,0.096219935,0.024054984,0.116838485,0.042955328,0.082474224,0.93003416,0.51194537,0.71672356,0.4052901,0.784983,0.41808873,0.05546075,0.71672356,0.19197953,0.26877132,0.9649872,0.5849701,0.61912894,0.3970965,0.6319385,0.37147737,0.20495303,0.64901793,0.21349274,0.3629377,0.96581197,0.5982906,0.6837607,0.35897437,0.6196581,0.41025642,0.15811966,0.63247865,0.1965812,0.37606838,0.95380664,0.6116339,0.58169377,0.41060734,0.60307956,0.41060734,0.21813515,0.5645851,0.22241232,0.42343885,0.864726,0.6806507,0.6378425,0.3938356,0.6035959,0.3510274,0.21832192,0.55222607,0.22260275,0.47517124
hsa:2550,0.09680777,0.11693268,0.11936156,0.05274115,0.12283137,0.15614156,0.0815406,0.12560722,0.08119362,0.04684247,0.09580007,0.13502257,0.12113849,0.04304061,0.122874,0.15515447,0.0812218,0.12044429,0.07532107,0.049982645,0.114930555,0.11701389,0.110069446,0.047916666,0.11076389,0.17395833,0.083333336,0.11840278,0.07604167,0.047569446,0.09829802,0.1257381,0.11462313,0.049670026,0.13164294,0.16811393,0.07363668,0.12434873,0.07155262,0.042375825,0.10006949,0.12404448,0.124391936,0.044475332,0.13029882,0.161918,0.07261988,0.118485056,0.07852676,0.04517026,0.10983664,0.11574557,0.119568996,0.04622871,0.10636079,0.17448731,0.080639556,0.11852624,0.07646854,0.052137643,0.46793762,0.5164645,0.7487002,0.2305026,0.814558,0.8856153,0.17850953,0.68284225,0.3604853,0.11438475,0.5478502,0.6362691,0.6033287,0.20284326,0.5877254,0.7385576,0.4386269,0.6362691,0.39701805,0.21151179,0.5775234,0.55324316,0.56018037,0.25147414,0.53936875,0.89490116,0.40582728,0.5983351,0.3798127,0.23933403,0.48403886,0.5846634,0.5968078,0.26370576,0.61415684,0.78070784,0.40770298,0.62803614,0.4059681,0.23421235,0.47900036,0.67511284,0.60569245,0.21520305,0.61437,0.77577233,0.40610898,0.6022214,0.37660536,0.24991322
hsa:146,0.046647232,0.110787176,0.093294464,0.023323616,0.10262391,0.24081632,0.13294461,0.113702625,0.118950434,0.016909622,0.044340722,0.10910152,0.11026838,0.016919486,0.12135356,0.22287048,0.124270715,0.09218203,0.13943991,0.01925321,0.06538237,0.087565675,0.09457093,0.02451839,0.09632224,0.28371277,0.11441915,0.08931699,0.1214244,0.022767074,0.045560747,0.11098131,0.10221963,0.018691588,0.099299066,0.26051402,0.12091122,0.11740654,0.10747664,0.016939253,0.049094096,0.09818819,0.115137346,0.0163647,0.104617186,0.23202805,0.12624197,0.10403273,0.13500877,0.019286966,0.07368421,0.0877193,0.09415205,0.01988304,0.08654971,0.2877193,0.11812866,0.0871345,0.120467834,0.024561403,0.21245635,0.47147846,0.6315483,0.08731083,0.6111758,1.097206,0.5849825,0.53259605,0.7043073,0.0669383,0.23005241,0.49796158,0.59988356,0.078625515,0.4950495,1.2230635,0.59697145,0.55037856,0.6202679,0.107746065,0.32051283,0.4166667,0.48659676,0.13111888,0.4574592,1.4131701,0.5769231,0.46037298,0.6118881,0.12529138,0.23323616,0.5539359,0.46647233,0.11661808,0.5131196,1.2040817,0.66472304,0.56851315,0.5947522,0.08454811,0.22170362,0.5455076,0.5513419,0.08459743,0.6067678,1.1143525,0.62135357,0.46091017,0.6971996,0.096266046
hsa:147,0.06991661,0.121231556,0.1045542,0.03463759,0.11417575,0.18345094,0.1167415,0.12700449,0.10198846,0.02629891,0.064826705,0.11938383,0.120667525,0.030166881,0.11168164,0.18292683,0.11039794,0.10269576,0.11553273,0.041720156,0.094412334,0.107257545,0.096339114,0.03339756,0.11046885,0.24855492,0.09055877,0.09312781,0.09377007,0.032113038,0.07197943,0.121465296,0.109897174,0.03084833,0.113753214,0.19601542,0.10861182,0.13046272,0.09383033,0.023136247,0.08360129,0.115755625,0.116398714,0.024437299,0.12154341,0.20900321,0.095176846,0.10225081,0.10418007,0.027652733,0.101673104,0.08301158,0.1042471,0.03796654,0.10553411,0.23166023,0.0978121,0.1042471,0.10810811,0.025740026,0.3425096,0.48015362,0.71702945,0.1440461,0.70742637,1.0019206,0.37451985,0.5889885,0.5505762,0.092829704,0.36194745,0.598975,0.6053812,0.128123,0.6149904,0.91287637,0.5221012,0.5477258,0.5573351,0.15054452,0.43589744,0.44551283,0.53846157,0.20192309,0.43589744,1.201923,0.5,0.49679488,0.51602566,0.22756411,0.34958306,0.6061578,0.522771,0.17318794,0.57087874,0.9172547,0.5837075,0.63502246,0.5099423,0.13149455,0.32413352,0.5969191,0.60333765,0.15083441,0.5584082,0.91463417,0.55198973,0.5134788,0.57766366,0.20860077
