Protein,Drug
hsa8843,D00524
hsa1128,D00525
hsa10161,D00528
hsa134,D00528
hsa135,D00528
hsa136,D00528
hsa140,D00528
hsa2846,D00528
hsa3577,D00528
hsa5028,D00528
hsa5029,D00528
hsa5030,D00528
hsa5031,D00528
hsa5032,D00528
hsa64805,D00528
hsa9934,D00528
hsa1128,D00540
hsa1129,D00540
hsa3577,D00542
hsa1814,D00559
hsa1812,D00560
hsa1813,D00560
hsa1814,D00560
hsa1816,D00560
hsa4985,D00560
hsa150,D00563
hsa151,D00563
hsa3356,D00563
hsa3358,D00563
hsa3577,D00574
hsa153,D00598
hsa154,D00598
hsa153,D00601
hsa154,D00601
hsa146,D00604
hsa150,D00604
hsa151,D00604
hsa152,D00604
hsa150,D00606
hsa151,D00606
hsa152,D00606
hsa146,D00607
hsa147,D00607
hsa148,D00607
hsa150,D00607
hsa151,D00607
hsa152,D00607
hsa146,D00609
hsa147,D00609
hsa148,D00609
hsa150,D00609
hsa151,D00609
hsa152,D00609
hsa150,D00613
hsa151,D00613
hsa152,D00613
hsa1812,D00613
hsa1816,D00613
hsa185,D00627
hsa153,D00632
hsa154,D00632
hsa153,D00635
hsa154,D00635
hsa153,D00645
hsa154,D00645
hsa1128,D00646
hsa1129,D00646
hsa3269,D00665
hsa3269,D00666
hsa3274,D00673
hsa3355,D00674
hsa3351,D00675
hsa3352,D00675
hsa3351,D00676
hsa3352,D00676
hsa3355,D00676
hsa5731,D00682
hsa154,D00683
hsa154,D00684
hsa154,D00687
hsa154,D00688
hsa1128,D00715
hsa1128,D00726
hsa1813,D00726
hsa1814,D00726
hsa3350,D00726
hsa3351,D00726
hsa3352,D00726
hsa3354,D00726
hsa3355,D00726
hsa3356,D00726
hsa3357,D00726
hsa3358,D00726
hsa3360,D00726
hsa3361,D00726
hsa3362,D00726
hsa8843,D00726
hsa1129,D00760
hsa1129,D00765
hsa64805,D00769
hsa2911,D00775
hsa2912,D00775
hsa2913,D00775
hsa2914,D00775
hsa2915,D00775
hsa2916,D00775
hsa2917,D00775
hsa2918,D00775
hsa1128,D00779
hsa1129,D00779
hsa1813,D00780
hsa1812,D00790
hsa1813,D00790
hsa4986,D00837
hsa4988,D00837
hsa4986,D00838
hsa4988,D00838
hsa4988,D00845
hsa148,D00954
hsa148,D00965
hsa1813,D00987
hsa146,D00996
hsa147,D00996
hsa148,D00996
hsa150,D00996
hsa151,D00996
hsa152,D00996
hsa153,D00996
hsa154,D00996
hsa155,D00996
hsa146,D01020
hsa147,D01020
hsa148,D01020
hsa146,D01022
hsa147,D01022
hsa148,D01022
hsa150,D01022
hsa151,D01022
hsa152,D01022
hsa146,D01024
hsa147,D01024
hsa148,D01024
hsa146,D01051
hsa147,D01051
hsa148,D01051
hsa3350,D01051
hsa3356,D01051
hsa3363,D01051
hsa3577,D01071
hsa1128,D01103
hsa1128,D01118
hsa222545,D01126
hsa1813,D01164
hsa1814,D01164
hsa3350,D01164
hsa3356,D01164
hsa3357,D01164
hsa3358,D01164
hsa1909,D01227
hsa1910,D01227
hsa552,D01236
hsa554,D01236
hsa3269,D01242
hsa1128,D01269
hsa1812,D01295
hsa1813,D01295
hsa1814,D01295
hsa1816,D01295
hsa3269,D01295
hsa1128,D01297
hsa3269,D01324
hsa3269,D01332
hsa2918,D01346
hsa5737,D01352
hsa5739,D01352
hsa146,D01358
hsa147,D01358
hsa148,D01358
hsa3356,D01358
hsa154,D01386
hsa153,D01390
hsa154,D01390
hsa155,D01390
hsa9283,D01441
hsa153,D01454
hsa154,D01454
hsa155,D01454
hsa1813,D01462
hsa146,D01603
hsa147,D01603
hsa148,D01603
hsa150,D01603
hsa151,D01603
hsa152,D01603
hsa5724,D01652
hsa148,D01692
hsa1131,D01699
hsa134,D01712
hsa135,D01712
hsa146,D01713
hsa147,D01713
hsa148,D01713
hsa150,D01713
hsa151,D01713
hsa3269,D01713
hsa3274,D01713
hsa3356,D01713
hsa23620,D01717
hsa3269,D01717
hsa1813,D01745
hsa3269,D01782
hsa10800,D01828
hsa1128,D01871
hsa1129,D01871
hsa1131,D01871
hsa1132,D01871
hsa1133,D01871
hsa5733,D01891
hsa7201,D01925
hsa5737,D01964
hsa146,D01965
hsa147,D01965
hsa148,D01965
hsa3350,D01973
hsa3351,D01973
hsa3352,D01973
hsa3354,D01973
hsa3355,D01973
hsa3357,D01973
hsa3363,D01973
hsa3360,D01994
hsa7201,D02007
hsa153,D02066
hsa154,D02066
hsa155,D02066
hsa1128,D02070
hsa1129,D02070
hsa1131,D02070
hsa1132,D02070
hsa1133,D02070
hsa150,D02076
hsa151,D02076
hsa152,D02076
hsa185,D02082
hsa154,D02147
hsa146,D02149
hsa147,D02149
hsa148,D02149
hsa150,D02149
hsa151,D02149
hsa152,D02149
hsa153,D02149
hsa154,D02149
hsa155,D02149
hsa153,D02150
hsa154,D02150
hsa155,D02150
hsa146,D02234
hsa147,D02234
hsa148,D02234
hsa146,D02237
hsa147,D02237
hsa148,D02237
hsa150,D02237
hsa151,D02237
hsa152,D02237
hsa6752,D02250
hsa6753,D02250
hsa6755,D02250
hsa222545,D02278
hsa222545,D02279
hsa1128,D02327
hsa3269,D02327
hsa153,D02338
hsa154,D02338
hsa155,D02338
hsa1813,D02340
hsa1814,D02340
hsa3356,D02340
hsa153,D02342
hsa154,D02342
hsa150,D02349
hsa1128,D02354
hsa1129,D02354
hsa1131,D02354
hsa1132,D02354
hsa1133,D02354
hsa1812,D02354
hsa1813,D02354
hsa1815,D02354
hsa3269,D02354
hsa3356,D02354
hsa3358,D02354
hsa1128,D02356
hsa1129,D02356
hsa146,D02356
hsa147,D02356
hsa148,D02356
hsa150,D02356
hsa151,D02356
hsa3356,D02357
hsa153,D02358
hsa154,D02359
hsa1128,D02361
hsa1129,D02361
hsa1131,D02361
hsa1132,D02361
hsa1133,D02361
hsa146,D02361
hsa147,D02361
hsa148,D02361
hsa1812,D02361
hsa1813,D02361
hsa1815,D02361
hsa3269,D02361
hsa3356,D02361
hsa3358,D02361
hsa153,D02374
hsa154,D02374
hsa155,D02374
hsa11255,D02566
hsa148,D02566
hsa3269,D02566
hsa59340,D02566
hsa3358,D02578
hsa4543,D02578
hsa7201,D02588
hsa153,D02614
hsa1812,D02671
hsa1813,D02671
hsa1814,D02671
hsa1816,D02671
hsa3356,D02671
hsa5731,D02721
hsa5739,D02721
hsa5731,D02725
hsa5733,D02725
hsa3351,D02826
hsa3352,D02826
hsa134,D02884
hsa135,D02884
hsa148,D02910
hsa153,D02910
hsa1813,D03165
hsa5732,D03187
hsa1234,D03210
hsa150,D03274
hsa151,D03274
hsa152,D03274
hsa8843,D03365
hsa153,D03415
hsa154,D03415
hsa155,D03415
hsa886,D03442
hsa887,D03442
hsa153,D03490
hsa154,D03490
hsa3274,D03503
hsa1128,D03621
hsa1129,D03621
hsa1131,D03621
hsa3269,D03621
hsa6915,D03642
hsa1131,D03654
hsa1128,D03858
hsa1129,D03858
hsa1131,D03858
hsa153,D03879
hsa154,D03879
hsa155,D03879
hsa153,D03880
hsa154,D03880
hsa153,D03881
hsa154,D03881
hsa2912,D03966
hsa2913,D03966
hsa2916,D03966
hsa2918,D03966
hsa136,D04006
hsa150,D04034
hsa151,D04034
hsa152,D04034
hsa185,D04040
hsa150,D04375
hsa153,D04625
hsa4988,D04716
hsa3269,D04979
hsa4988,D05113
hsa10800,D05129
hsa3269,D05129
hsa57105,D05129
hsa5729,D05129
hsa185,D05246
hsa4985,D05312
hsa4986,D05312
hsa4988,D05312
hsa6010,D05341
hsa3351,D05740
hsa3352,D05740
hsa154,D05792
hsa4988,D05938
hsa3360,D06056
hsa3360,D06396
