DrugID,SMILE
D00677,C1=CC(=CC=C1C2=CC=C(S2)C(=O)OCC(=O)NC3=C(C=CS3)C#N)Cl
D00678,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl.O.O
D00694,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
D00697,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1
D00704,CCC(O)(\C=C\Cl)C#C
D00708,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
D00709,CC[C@H](N1CCCC1=O)C(N)=O
D00711,CNC1(c2ccccc2Cl)CCCCC1=O.Cl
D00726,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
D00732,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl
D00733,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
D00735,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl
D00738,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl
D00739,CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl
D00740,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl
D00741,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl
D00759,CNC(=O)NC(=O)CSC1=C(C=CC=C1Cl)Cl
D00760,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
D00761,[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3
D00765,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
D00771,ClC1=CC2=C(OC(=O)N2)C=C1
D00775,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
D00779,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
D00791,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D00798,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl
D00799,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
D00809,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
D00812,CNCCCN1c2ccccc2CCc2ccccc21.Cl
D00816,CNCCC=C1c2ccccc2CCc2ccccc21.Cl
D00823,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
D00831,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1
D00960,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
D00963,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
D00964,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
D01071,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
D01108,[Mg++].[O-]S([O-])(=O)=O
D01111,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O
D01118,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
D01242,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
D01243,CCCNC(C)C(=O)Nc1ccccc1C.Cl
D01253,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O
D01256,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2
D01275,CC1=C(C=C(O1)COC(=O)C2=CC3=C(C=C2)SCCC(=O)N3)C(=O)OC
D01287,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl
D01295,C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
D01350,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
D01448,C[C@H](C(=O)NC1=CC=CC=C1[N+](=O)[O-])OC(=O)C2=CC3=C(C=C2)SCCC(=O)N3
D01450,C[C@@H](C(=O)NCCC1=CC=C(C=C1)F)OC(=O)C2=CC3=C(C=C2)SCCC(=O)N3
D01453,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)COC2=CC(=CC(=C2)Cl)Cl
D01575,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21.[Cl-].[Cl-]
D01599,[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
D01603,CN\C(NCC1=CC=CC=C1)=N/C
D01712,CC([O-])=O.C12=C(N(C(=O)N(C1=O)C)C)N=CN2.[Na+]
D01768,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl
D01799,O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1
D01828,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
D01854,[H][C@@](CC(=O)N1C[C@@]2([H])CCCC[C@@]2([H])C1)(CC1=CC=CC=C1)C(O)=O
D01969,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC.Cl
D02041,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NC(=O)NCCC2=CCCCC2
D02086,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl
D02087,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl
D02088,Cc1cccc(C)c1NC(=O)C(C)N.Cl
D02092,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC.O
D02098,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl
D02101,C[C@H](CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SCCSC)O
D02163,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NNC(=O)C2=CC=CC=C2
D02173,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)C2=C(C=CC(=C2)F)OC
D02204,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
D02207,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.O.O.O.O.O.[Cl-]
D02234,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NCC2=CC(=CC=C2)OC
D02237,NC(N)=NCCN1CCCCCCC1
D02253,COC(=O)C1=CC2=C(C=C1)C(=O)N(C(=N2)S[C@@H]3CCOC3=O)C[C@H]4CCCO4
D02261,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl.O.O
D02262,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O
D02272,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O
D02347,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O
D02356,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
D02360,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
D02362,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
D02409,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)O[C@@H](C)C(=O)NC2=CC3=C(C=C2)OCO3
D02461,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)c1ccc(N)cc1.O
D02485,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl
D02546,C1=CC(=CC(=C1)NC(=O)C2=CC3=C(C=C2)N=CS3)C(=O)N
D02566,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21
D02630,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
D02914,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=C(O)/C=C\C(=O)O
D03037,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1.Cl.Cl
D03180,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
D03274,CCN(CC)C(=O)C1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)F
D03365,CN1CCC[C@H]1C1=CN=CC=C1
D03450,O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(OCCN1CCCCCC1)C(c1ccsc1)C1CCCCC1
D03580,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC
D03742,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2
D03826,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=S(=O)(O)O
D03830,C1=CC=C2C(=C1)C(=CN2)CC(=O)NC3=CC=CC=C3OC(F)(F)F
D03878,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12.O=C(O)/C=C\C(=O)O
D03991,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1.Cl
D04034,CCC1=CC=C(S1)CNC(=O)NC2=C(C=C(C=C2)Br)F
D04048,CCC1=CC=C(S1)CNC(=O)NC2=CC(=CC=C2)I
D04370,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2
D04790,[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC
D04985,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
D04999,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
D05024,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
D05077,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1
D05156,CC(C)(C)NC(=O)CS(=O)(=O)CC1=NN=NN1C2CC2
D05453,Cl.c1ccc(C2(N3CCCCC3)CCCCC2)cc1
D05458,CC(C)(N)CC1=CC=CC=C1
D05461,CCS(=O)(=O)C(C)C(=O)NC1=CC(=C(C=C1)C)F
D06106,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
D06172,CC(N)C(=O)NC1=C(C)C=CC=C1C
