DrugID,SMILE
D00760,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
D00765,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
D00769,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl
D00775,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
D00779,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
D00780,C1COCCN1C(=O)COC(=O)C2=CC=C(S2)C3=CC=C(C=C3)Cl
D00790,CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12
D00837,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
D00838,[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N
D00845,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
D00954,CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C
D00965,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
D00987,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
D00996,CNC[C@H](O)c1ccc(O)c(O)c1.Cl
D01020,COc1ccc(OC)c(C(O)C(C)N)c1.Cl
D01022,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl
D01024,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl
D01051,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
D01071,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
D01103,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
D01118,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
D01126,Cl.N=C(N)NCCC[C@H](N)C(=O)O
D01164,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
D01227,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
D01236,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2.Cl
D01242,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
D01269,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
D01295,C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
D01297,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1.Cl.Cl
D01324,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12
D01332,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12
D01346,OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1
D01352,NC(CO)(CO)CO.CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
D01358,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl
D01386,CN[C@@H](C)[C@H](O)c1ccccc1.Cl
D01390,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl
D01441,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
D01454,CN(C)C(=O)C1=CC=C(C=C1)NC(=O)COC2=CC(=CC(=C2)Cl)Cl
D01462,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O
D01603,CN\C(NCC1=CC=CC=C1)=N/C
D01652,Cc1nnc2n1-c1sc(CCC(=O)N3CCOCC3)cc1C(c1ccccc1Cl)=NC2
D01692,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl
D01699,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
D01712,CC([O-])=O.C12=C(N(C(=O)N(C1=O)C)C)N=CN2.[Na+]
D01713,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21
D01717,C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1
D01745,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2
D01782,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
D01828,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
D01871,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1
D01891,COC(=O)CCC=C=CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1
D01925,C[C@@H](CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SCC(=O)NCCOC)O
D01964,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
D01965,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F
D01973,Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
D01994,C[C@H](CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1S[C@H](C)C#N)O
D02007,CC1=CC(=C(C=C1)C)CSC2=NC3=C(C=CC(=C3)C(=O)OC)C(=O)N2C[C@H](C)O
D02066,CC(C)NCC(O)c1ccc(O)c(O)c1.CC(C)NCC(O)c1ccc(O)c(O)c1.O.O.O=S(=O)(O)O
D02070,[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1
D02076,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)[C@H](O)[C@@H](O)C(=O)O
D02082,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O
D02147,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1
D02149,CNC[C@H](O)c1ccc(O)c(O)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
D02150,CC(C)NC[C@H](O)c1ccc(O)c(O)c1.Cl
D02234,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NCC2=CC(=CC=C2)OC
D02237,NC(N)=NCCN1CCCCCCC1
D02250,CC(=O)CSC1=NC2=C(C=CC(=C2)C(=O)OC)C(=O)N1C[C@H]3CCCO3
D02278,CC(=O)O.NCCCC[C@H](N)C(=O)O
D02279,Cl.NCCCC[C@H](N)C(=O)O
D02327,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1
D02338,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
D02340,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
D02342,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
D02349,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
D02354,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1
D02356,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
D02357,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
D02358,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
D02359,C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1
D02361,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1
D02374,CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1
D02566,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21
D02578,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1
D02588,C1C(=O)NC2=C(S1)C=CC(=C2)C(=O)NC3=CC=CC=C3O
D02614,COc1ccc(CCNC[C@H](O)c2ccc(O)cc2)cc1OC
D02671,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2
D02721,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
D02725,CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1
D02826,Cl.Cl.c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2
D02884,CC(C)(N)CO.Cn1c(=O)c2[nH]cnc2n(C)c1=O
D02910,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
D03165,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
D03187,CCCC1([C@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC)CCC1
D03210,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1
D03274,CCN(CC)C(=O)C1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)F
D03365,CN1CCC[C@H]1C1=CN=CC=C1
D03415,CCC(C(=O)NC1=NOC(=C1)C)OC2=CC=C(C=C2)SC
D03442,[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
D03490,CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1.Cl
D03503,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl
D03621,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
D03642,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1
D03654,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
D03858,OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1
D03879,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
D03880,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1.O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
D03881,CCC1(C(=O)N(C(=O)N1)CC(=O)NC(C)(C)CC)C2=CC=C(C=C2)OC
D03966,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21.O
D04006,CCCN1C2=C(NC=N2)C(=O)NC1=O
D04034,CCC1=CC=C(S1)CNC(=O)NC2=C(C=C(C=C2)Br)F
D04040,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O
D04375,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl
D04625,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
D04716,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
D04979,CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1
D05113,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
D05129,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O
D05246,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
D05312,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C
D05341,CCCCCCCCCCCCCCCC(O)=O
D05740,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.O.O=S(=O)(O)O
D05792,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1
D05938,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
D06056,CCCCCNC(=N)N\N=C\C1=CNC2=C1C=C(OC)C=C2
D06396,COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2
